time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
69.0,88.9,85.2,25.8,36.82,1.01,False,True,False,True,False,False
70.0,90.3,84.4,26.0,36.74,0.93,False,True,False,True,False,False
71.0,88.9,84.6,25.6,36.94,1.03,False,True,False,True,False,False
72.0,87.9,85.4,24.8,36.62,0.95,False,True,False,True,False,False
73.0,92.2,84.6,26.8,36.79,0.98,False,True,False,True,False,False
74.0,91.4,85.0,27.5,36.96,0.97,False,True,False,True,False,False
75.0,86.8,85.3,26.4,36.92,0.98,False,True,False,True,False,False
76.0,91.5,85.0,26.1,36.88,1.03,False,True,False,True,False,False
77.0,91.8,84.8,25.7,36.8,0.93,False,True,False,True,False,False
78.0,88.4,85.0,26.4,36.9,0.97,False,True,False,True,False,False
79.0,91.9,83.9,26.5,36.87,0.93,False,True,False,True,False,False
80.0,87.8,84.9,25.9,36.91,0.97,False,True,False,True,False,False
81.0,89.3,85.5,25.5,36.7,0.95,False,True,False,True,False,False
82.0,89.8,85.9,24.0,36.91,1.01,False,True,False,False,False,False
83.0,90.7,85.3,26.0,36.71,1.02,False,True,False,True,False,False
84.0,90.6,85.1,27.1,36.67,1.1,False,True,False,True,False,False
85.0,90.3,85.1,26.0,36.8,0.98,False,True,False,True,False,False
86.0,88.7,84.6,24.8,36.79,1.07,False,True,False,True,False,False
87.0,92.3,85.5,25.3,36.93,0.97,False,True,False,True,False,False
88.0,91.0,85.5,24.7,36.78,0.97,False,True,False,True,False,False
89.0,89.2,84.7,24.3,36.83,1.03,False,True,False,True,False,False
90.0,89.1,84.2,27.2,36.7,1.05,False,True,False,True,False,False
91.0,92.1,85.2,26.1,36.68,1.05,False,True,False,True,False,False
92.0,91.0,85.6,26.4,36.76,1.03,False,True,False,True,False,False
93.0,88.6,84.8,24.2,36.86,1.01,False,True,False,True,False,False
94.0,89.4,85.1,26.4,37.06,1.09,False,True,False,True,False,False
95.0,91.5,85.2,26.6,36.69,0.98,False,True,False,True,False,False
96.0,87.0,85.5,27.0,36.98,0.96,False,True,False,True,False,False
97.0,88.7,85.3,25.2,36.77,0.97,False,True,False,True,False,False
98.0,91.1,84.5,25.0,36.94,0.93,False,True,False,True,False,False
99.0,88.2,85.4,27.0,36.65,0.97,False,True,False,True,False,False
100.0,92.4,84.9,26.5,36.83,1.08,False,True,False,True,False,False
101.0,88.3,85.0,25.8,36.82,0.92,False,True,False,True,False,False
102.0,87.9,85.4,26.6,36.75,1.09,False,True,False,True,False,False
103.0,88.0,84.1,27.4,36.77,0.92,False,True,False,True,False,False
104.0,90.1,85.4,26.2,36.8,1.05,False,True,False,True,False,False
105.0,89.4,84.5,26.4,36.81,0.86,False,True,False,True,False,False
106.0,88.8,84.7,26.8,36.61,1.09,False,True,False,True,False,False
107.0,90.2,85.6,26.6,36.67,0.96,False,True,False,True,False,False
108.0,88.8,85.6,25.9,36.71,1.01,False,True,False,True,False,False
109.0,90.4,84.6,26.1,36.52,1.0,False,True,False,True,False,False
110.0,91.0,84.5,24.5,36.66,0.98,False,True,False,True,False,False
111.0,90.5,84.2,24.9,36.87,1.08,False,True,False,True,False,False
112.0,88.4,84.6,28.1,36.83,1.05,False,True,False,True,False,False
113.0,91.4,85.8,25.5,36.71,1.0,False,True,False,True,False,False
114.0,90.2,85.1,24.6,36.89,1.02,False,True,False,True,False,False
115.0,91.2,84.5,27.1,36.8,1.05,False,True,False,True,False,False
116.0,91.5,84.9,27.4,36.71,0.98,False,True,False,True,False,False
117.0,89.4,84.3,24.9,36.86,1.04,False,True,False,True,False,False
118.0,91.2,85.0,26.0,36.93,1.05,False,True,False,True,False,False
119.0,88.9,85.3,25.8,36.76,0.97,False,True,False,True,False,False
