time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
41.0,83.1,87.9,23.7,36.78,1.02,False,True,False,False,False,False
42.0,87.2,87.5,25.3,36.79,1.03,False,True,False,True,False,False
43.0,85.6,88.2,22.7,36.83,0.96,False,True,False,False,False,False
44.0,89.3,87.7,23.8,36.91,0.94,False,True,False,False,False,False
45.0,88.6,87.1,24.9,36.84,0.96,False,True,False,True,False,False
46.0,89.5,86.3,24.4,36.66,0.98,False,True,False,True,False,False
47.0,88.3,86.0,25.4,36.82,0.9,False,True,False,True,False,False
48.0,87.4,85.9,24.1,36.79,0.96,False,True,False,True,False,False
49.0,91.3,85.8,25.7,36.69,0.95,False,True,False,True,False,False
50.0,92.0,84.3,27.9,36.93,0.93,False,True,False,True,False,False
51.0,88.8,84.9,25.7,36.76,0.94,False,True,False,True,False,False
52.0,88.1,85.1,25.8,36.71,0.97,False,True,False,True,False,False
53.0,90.8,84.2,26.8,36.73,1.05,False,True,False,True,False,False
54.0,89.9,84.2,26.8,36.77,1.04,False,True,False,True,False,False
55.0,90.4,85.0,27.5,36.8,1.04,False,True,False,True,False,False
56.0,88.5,84.8,27.3,36.69,1.16,False,True,False,True,False,False
57.0,91.6,85.5,26.4,36.82,1.05,False,True,False,True,False,False
58.0,88.1,85.4,27.7,36.83,1.06,False,True,False,True,False,False
59.0,92.2,85.3,24.7,36.76,1.07,False,True,False,True,False,False
60.0,89.7,85.2,26.0,36.81,1.0,False,True,False,True,False,False
61.0,89.9,86.2,27.1,36.86,1.03,False,True,False,True,False,False
62.0,89.7,85.3,26.2,36.84,0.98,False,True,False,True,False,False
63.0,86.7,84.4,26.3,36.71,1.03,False,True,False,True,False,False
64.0,87.6,85.0,26.8,36.79,0.88,False,True,False,True,False,False
65.0,88.1,85.8,26.3,36.88,1.02,False,True,False,True,False,False
66.0,89.2,85.4,26.2,36.89,1.01,False,True,False,True,False,False
67.0,90.0,85.2,26.3,36.73,0.82,False,True,False,True,False,False
68.0,89.3,85.9,25.6,36.68,1.05,False,True,False,True,False,False
69.0,89.5,85.2,25.8,36.82,1.05,False,True,False,True,False,False
70.0,90.9,85.6,27.2,36.73,0.93,False,True,False,True,False,False
71.0,91.6,84.8,25.2,36.79,0.9,False,True,False,True,False,False
72.0,90.1,85.2,26.0,36.77,1.04,False,True,False,True,False,False
73.0,88.3,85.4,25.8,36.8,0.96,False,True,False,True,False,False
74.0,88.9,84.6,26.5,36.78,0.92,False,True,False,True,False,False
75.0,91.5,84.2,26.0,36.85,0.93,False,True,False,True,False,False
76.0,87.4,84.2,26.6,37.04,0.96,False,True,False,True,False,False
77.0,88.0,84.5,25.7,36.65,1.09,False,True,False,True,False,False
78.0,90.1,85.4,26.3,36.65,1.0,False,True,False,True,False,False
79.0,90.6,84.8,25.4,36.81,0.98,False,True,False,True,False,False
80.0,89.4,85.1,25.5,36.83,1.0,False,True,False,True,False,False
81.0,89.7,84.7,26.6,36.99,1.03,False,True,False,True,False,False
82.0,90.3,84.9,26.9,36.58,0.95,False,True,False,True,False,False
83.0,88.7,85.2,27.8,36.85,1.09,False,True,False,True,False,False
84.0,88.5,84.7,25.8,36.84,0.99,False,True,False,True,False,False
85.0,91.8,84.9,26.5,36.84,0.97,False,True,False,True,False,False
86.0,91.2,84.9,25.9,36.65,0.98,False,True,False,True,False,False
87.0,90.8,84.7,25.7,36.85,1.0,False,True,False,True,False,False
88.0,88.1,84.8,25.0,36.92,0.95,False,True,False,True,False,False
89.0,89.6,85.1,25.7,36.7,1.06,False,True,False,True,False,False
90.0,90.4,83.6,25.5,36.98,0.93,False,True,False,True,False,False
91.0,88.9,85.7,26.3,36.75,1.1,False,True,False,True,False,False
92.0,90.7,86.0,25.9,36.79,1.09,False,True,False,True,False,False
93.0,92.9,84.9,26.2,36.84,0.9,False,True,False,True,False,False
94.0,88.9,84.5,24.7,36.83,1.06,False,True,False,True,False,False
95.0,89.7,84.9,25.8,36.66,1.09,False,True,False,True,False,False
96.0,90.0,85.3,25.5,36.84,0.98,False,True,False,True,False,False
97.0,89.3,85.3,25.6,36.92,1.07,False,True,False,True,False,False
98.0,90.2,84.1,26.5,36.92,0.99,False,True,False,True,False,False
99.0,89.4,85.1,26.2,36.82,1.06,False,True,False,True,False,False
100.0,90.4,84.9,25.4,36.9,0.98,False,True,False,True,False,False
101.0,89.9,85.7,24.4,36.78,0.99,False,True,False,True,False,False
102.0,91.9,84.5,26.0,36.87,1.01,False,True,False,True,False,False
103.0,91.4,85.2,25.2,36.93,0.94,False,True,False,True,False,False
104.0,89.7,84.6,25.4,37.05,1.01,False,True,False,True,False,False
105.0,90.1,84.7,25.8,36.82,0.99,False,True,False,True,False,False
106.0,91.2,84.9,25.9,36.83,0.97,False,True,False,True,False,False
107.0,91.5,85.4,25.1,36.7,0.98,False,True,False,True,False,False
108.0,86.0,85.5,25.4,36.73,0.97,False,True,False,True,False,False
109.0,89.5,84.3,26.9,36.91,0.97,False,True,False,True,False,False
110.0,88.9,84.3,25.6,36.92,0.95,False,True,False,True,False,False
111.0,90.2,84.5,26.6,36.68,1.04,False,True,False,True,False,False
112.0,89.3,85.4,27.3,36.82,1.03,False,True,False,True,False,False
113.0,88.6,84.6,25.5,36.79,1.03,False,True,False,True,False,False
114.0,87.3,85.7,26.8,36.84,1.01,False,True,False,True,False,False
115.0,90.8,83.8,25.3,36.89,0.99,False,True,False,True,False,False
116.0,91.2,84.9,26.2,36.81,0.94,False,True,False,True,False,False
117.0,89.6,85.0,26.1,36.69,1.04,False,True,False,True,False,False
118.0,90.3,84.8,25.9,36.81,1.04,False,True,False,True,False,False
119.0,89.1,85.0,25.8,36.89,0.96,False,True,False,True,False,False
